Date,Open,High,Low,Close
03/28/2025,"7,172.23","7,172.23","7,172.23","7,172.23"
03/27/2025,"7,211.11","7,211.11","7,211.11","7,211.11"
03/26/2025,"7,116.37","7,116.37","7,116.37","7,116.37"
03/25/2025,"7,041.68","7,041.68","7,041.68","7,041.68"
03/24/2025,"7,076.22","7,076.22","7,076.22","7,076.22"
03/21/2025,"7,012.01","7,012.01","7,012.01","7,012.01"
03/20/2025,"7,005.53","7,005.53","7,005.53","7,005.53"
03/19/2025,"7,048.57","7,048.57","7,048.57","7,048.57"
03/18/2025,"7,060.96","7,060.96","7,060.96","7,060.96"
03/17/2025,"7,132.10","7,132.10","7,132.10","7,132.10"
03/14/2025,"7,008.14","7,008.14","7,008.14","7,008.14"
03/13/2025,"6,972.13","6,972.13","6,972.13","6,972.13"
03/12/2025,"7,032.04","7,032.04","7,032.04","7,032.04"
03/11/2025,"7,152.13","7,152.13","7,152.13","7,152.13"
03/10/2025,"7,276.94","7,276.94","7,276.94","7,276.94"
03/07/2025,"7,325.48","7,325.48","7,325.48","7,325.48"
03/06/2025,"7,156.04","7,156.04","7,156.04","7,156.04"
03/05/2025,"7,131.52","7,131.52","7,131.52","7,131.52"
03/04/2025,"7,116.61","7,116.61","7,116.61","7,116.61"
03/03/2025,"7,212.75","7,212.75","7,212.75","7,212.75"
02/28/2025,"7,263.60","7,263.60","7,263.60","7,263.60"
02/27/2025,"7,207.89","7,207.89","7,207.89","7,207.89"
02/26/2025,"7,266.59","7,266.59","7,266.59","7,266.59"
02/25/2025,"7,433.92","7,433.92","7,433.92","7,433.92"
02/24/2025,"7,401.75","7,401.75","7,401.75","7,401.75"
02/21/2025,"7,391.42","7,391.42","7,391.42","7,391.42"
02/20/2025,"7,339.86","7,339.86","7,339.86","7,339.86"
02/19/2025,"7,373.80","7,373.80","7,373.80","7,373.80"
02/18/2025,"7,299.84","7,299.84","7,299.84","7,299.83"
02/14/2025,"7,340.19","7,340.19","7,340.19","7,340.18"
02/13/2025,"7,381.92","7,381.92","7,381.92","7,381.92"
02/12/2025,"7,271.80","7,271.80","7,271.80","7,271.80"
02/11/2025,"7,289.97","7,289.97","7,289.97","7,289.97"
02/10/2025,"7,224.91","7,224.91","7,224.91","7,224.91"
02/07/2025,"7,223.81","7,223.81","7,223.81","7,223.81"
02/06/2025,"7,252.25","7,252.25","7,252.25","7,252.25"
02/05/2025,"7,232.30","7,232.30","7,232.30","7,232.30"
02/04/2025,"7,226.37","7,226.37","7,226.37","7,226.37"
02/03/2025,"7,245.81","7,245.81","7,245.81","7,245.81"
01/31/2025,"7,312.85","7,312.85","7,312.85","7,312.85"
01/30/2025,"7,396.69","7,396.69","7,396.69","7,396.69"
01/29/2025,"7,342.09","7,342.09","7,342.09","7,342.09"
01/28/2025,"7,317.57","7,317.57","7,317.57","7,317.57"
01/27/2025,"7,418.05","7,418.05","7,418.05","7,418.05"
01/24/2025,"7,281.50","7,281.50","7,281.50","7,281.50"
01/23/2025,"7,243.57","7,243.57","7,243.57","7,243.57"
01/22/2025,"7,209.76","7,209.76","7,209.76","7,209.76"
01/21/2025,"7,303.92","7,303.92","7,303.92","7,303.92"
01/17/2025,"7,243.44","7,243.44","7,243.44","7,243.44"
01/16/2025,"7,222.73","7,222.73","7,222.73","7,222.73"
01/15/2025,"7,169.35","7,169.35","7,169.35","7,169.35"
01/14/2025,"7,182.31","7,182.31","7,182.31","7,182.31"
01/13/2025,"7,177.22","7,177.22","7,177.22","7,177.22"
01/10/2025,"7,108.09","7,108.09","7,108.09","7,108.09"
01/08/2025,"7,258.76","7,258.76","7,258.76","7,258.76"
01/07/2025,"7,258.28","7,258.28","7,258.28","7,258.28"
01/06/2025,"7,320.17","7,320.17","7,320.17","7,320.17"
01/03/2025,"7,416.33","7,416.33","7,416.33","7,416.32"
01/02/2025,"7,399.60","7,399.60","7,399.60","7,399.60"
12/31/2024,"7,387.86","7,387.86","7,387.86","7,387.86"
12/30/2024,"7,348.12","7,348.12","7,348.12","7,348.12"
12/27/2024,"7,424.93","7,424.93","7,424.93","7,424.93"
12/26/2024,"7,464.20","7,464.20","7,464.20","7,464.20"
12/24/2024,"7,442.75","7,442.75","7,442.75","7,442.75"
12/23/2024,"7,384.08","7,384.08","7,384.08","7,384.08"
12/20/2024,"7,428.74","7,428.74","7,428.74","7,428.74"
12/19/2024,"7,422.99","7,422.99","7,422.99","7,422.99"
12/18/2024,"7,481.01","7,481.01","7,481.01","7,481.01"
12/17/2024,"7,675.46","7,675.46","7,675.46","7,675.46"
12/16/2024,"7,725.03","7,725.03","7,725.03","7,725.03"
12/13/2024,"7,789.85","7,789.85","7,789.85","7,789.85"
12/12/2024,"7,799.56","7,799.56","7,799.56","7,799.56"
12/11/2024,"7,789.44","7,789.44","7,789.44","7,789.44"
12/10/2024,"7,819.55","7,819.55","7,819.55","7,819.55"
12/09/2024,"7,762.45","7,762.45","7,762.45","7,762.45"
12/06/2024,"7,699.71","7,699.71","7,699.71","7,699.71"
12/05/2024,"7,738.20","7,738.20","7,738.20","7,738.20"
12/04/2024,"7,749.50","7,749.50","7,749.50","7,749.50"
12/03/2024,"7,778.42","7,778.42","7,778.42","7,778.42"
12/02/2024,"7,801.72","7,801.72","7,801.72","7,801.72"
11/29/2024,"7,800.12","7,800.12","7,800.12","7,800.11"
11/27/2024,"7,774.73","7,774.73","7,774.73","7,774.73"
11/26/2024,"7,767.57","7,767.57","7,767.57","7,767.57"
11/25/2024,"7,771.61","7,771.61","7,771.61","7,771.61"
11/22/2024,"7,668.34","7,668.34","7,668.34","7,668.34"
11/21/2024,"7,601.18","7,601.18","7,601.18","7,601.18"
11/20/2024,"7,508.09","7,508.09","7,508.09","7,508.09"
11/19/2024,"7,501.04","7,501.04","7,501.04","7,501.04"
11/18/2024,"7,470.98","7,470.98","7,470.98","7,470.98"
11/15/2024,"7,435.46","7,435.46","7,435.46","7,435.46"
11/14/2024,"7,537.75","7,537.75","7,537.75","7,537.75"
11/13/2024,"7,585.00","7,585.00","7,585.00","7,585.00"
11/12/2024,"7,603.41","7,603.41","7,603.41","7,603.41"
11/11/2024,"7,634.14","7,634.14","7,634.14","7,634.14"
11/08/2024,"7,633.22","7,633.22","7,633.22","7,633.21"
11/07/2024,"7,605.77","7,605.77","7,605.77","7,605.77"
11/06/2024,"7,655.02","7,655.02","7,655.02","7,655.02"
11/05/2024,"7,596.11","7,596.11","7,596.11","7,596.11"
11/04/2024,"7,487.62","7,487.62","7,487.62","7,487.62"
11/01/2024,"7,438.76","7,438.76","7,438.76","7,438.76"
10/31/2024,"7,380.65","7,380.65","7,380.65","7,380.65"
10/30/2024,"7,434.87","7,434.87","7,434.87","7,434.87"
10/29/2024,"7,490.25","7,490.25","7,490.25","7,490.24"
10/28/2024,"7,551.45","7,551.45","7,551.45","7,551.45"
10/25/2024,"7,497.84","7,497.84","7,497.84","7,497.84"
10/24/2024,"7,521.83","7,521.83","7,521.83","7,521.83"
10/23/2024,"7,529.15","7,529.15","7,529.15","7,529.15"
10/22/2024,"7,560.68","7,560.68","7,560.68","7,560.68"
10/21/2024,"7,578.73","7,578.73","7,578.73","7,578.73"
10/18/2024,"7,687.93","7,687.93","7,687.93","7,687.93"
10/17/2024,"7,704.02","7,704.02","7,704.02","7,704.02"
10/16/2024,"7,710.87","7,710.87","7,710.87","7,710.87"
10/15/2024,"7,671.27","7,671.27","7,671.27","7,671.27"
10/14/2024,"7,628.07","7,628.07","7,628.07","7,628.07"
10/11/2024,"7,595.67","7,595.67","7,595.67","7,595.67"
10/10/2024,"7,547.97","7,547.97","7,547.97","7,547.97"
10/09/2024,"7,559.31","7,559.31","7,559.31","7,559.31"
10/08/2024,"7,546.94","7,546.94","7,546.94","7,546.94"
10/07/2024,"7,511.92","7,511.92","7,511.92","7,511.92"
10/04/2024,"7,526.37","7,526.37","7,526.37","7,526.36"
10/03/2024,"7,446.10","7,446.10","7,446.10","7,446.10"
10/02/2024,"7,549.76","7,549.76","7,549.76","7,549.76"
10/01/2024,"7,638.98","7,638.98","7,638.98","7,638.98"
09/30/2024,"7,614.44","7,614.44","7,614.44","7,614.44"
09/27/2024,"7,631.98","7,631.98","7,631.98","7,631.98"
09/26/2024,"7,586.67","7,586.67","7,586.67","7,586.67"
09/25/2024,"7,512.60","7,512.60","7,512.60","7,512.60"
09/24/2024,"7,551.31","7,551.31","7,551.31","7,551.31"
09/23/2024,"7,561.43","7,561.43","7,561.43","7,561.43"
09/20/2024,"7,547.48","7,547.48","7,547.48","7,547.48"
09/19/2024,"7,582.89","7,582.89","7,582.89","7,582.89"
09/18/2024,"7,562.17","7,562.17","7,562.17","7,562.17"
09/17/2024,"7,561.72","7,561.72","7,561.72","7,561.72"
09/16/2024,"7,546.95","7,546.95","7,546.95","7,546.95"
09/13/2024,"7,522.80","7,522.80","7,522.80","7,522.80"
09/12/2024,"7,439.99","7,439.99","7,439.99","7,439.99"
09/11/2024,"7,356.02","7,356.02","7,356.02","7,356.02"
09/10/2024,"7,405.79","7,405.79","7,405.79","7,405.79"
09/09/2024,"7,452.41","7,452.41","7,452.41","7,452.40"
09/06/2024,"7,462.38","7,462.38","7,462.38","7,462.37"
09/05/2024,"7,515.27","7,515.27","7,515.27","7,515.27"
09/04/2024,"7,495.45","7,495.45","7,495.45","7,495.45"
09/03/2024,"7,511.12","7,511.12","7,511.12","7,511.12"
08/30/2024,"7,505.50","7,505.50","7,505.50","7,505.50"
08/29/2024,"7,459.68","7,459.68","7,459.68","7,459.68"
08/28/2024,"7,528.59","7,528.59","7,528.59","7,528.59"
08/27/2024,"7,547.70","7,547.70","7,547.70","7,547.70"
08/26/2024,"7,538.88","7,538.88","7,538.88","7,538.88"
08/23/2024,"7,500.25","7,500.25","7,500.25","7,500.25"
08/22/2024,"7,424.95","7,424.95","7,424.95","7,424.95"
08/21/2024,"7,492.87","7,492.87","7,492.87","7,492.87"
08/20/2024,"7,429.54","7,429.54","7,429.54","7,429.54"
08/19/2024,"7,476.52","7,476.52","7,476.52","7,476.52"
08/16/2024,"7,425.06","7,425.06","7,425.06","7,425.06"
08/15/2024,"7,408.28","7,408.28","7,408.28","7,408.28"
08/14/2024,"7,340.69","7,340.69","7,340.69","7,340.69"
08/13/2024,"7,278.94","7,278.94","7,278.94","7,278.94"
08/12/2024,"7,197.30","7,197.30","7,197.30","7,197.30"
08/09/2024,"7,287.89","7,287.89","7,287.89","7,287.89"
08/08/2024,"7,302.98","7,302.98","7,302.98","7,302.98"
08/07/2024,"7,252.16","7,252.16","7,252.16","7,252.16"
08/06/2024,"7,265.96","7,265.96","7,265.96","7,265.96"
08/05/2024,"7,233.41","7,233.41","7,233.41","7,233.41"
08/02/2024,"7,406.33","7,406.33","7,406.33","7,406.33"
08/01/2024,"7,430.31","7,430.31","7,430.31","7,430.31"
07/31/2024,"7,432.65","7,432.65","7,432.65","7,432.65"
07/30/2024,"7,410.31","7,410.31","7,410.31","7,410.30"
07/29/2024,"7,329.10","7,329.10","7,329.10","7,329.10"
07/26/2024,"7,370.68","7,370.68","7,370.68","7,370.68"
07/25/2024,"7,271.16","7,271.16","7,271.16","7,271.16"
07/24/2024,"7,209.27","7,209.27","7,209.27","7,209.27"
07/23/2024,"7,283.57","7,283.57","7,283.57","7,283.57"
07/22/2024,"7,306.58","7,306.58","7,306.58","7,306.58"
07/19/2024,"7,304.29","7,304.29","7,304.29","7,304.29"
07/18/2024,"7,381.40","7,381.40","7,381.40","7,381.40"
07/17/2024,"7,427.40","7,427.40","7,427.40","7,427.40"
07/16/2024,"7,332.84","7,332.84","7,332.84","7,332.84"
07/15/2024,"7,208.82","7,208.82","7,208.82","7,208.82"
07/12/2024,"7,246.83","7,246.83","7,246.83","7,246.83"
07/11/2024,"7,229.25","7,229.25","7,229.25","7,229.25"
07/10/2024,"7,127.64","7,127.64","7,127.64","7,127.64"
07/09/2024,"7,100.19","7,100.19","7,100.19","7,100.19"
07/08/2024,"7,186.90","7,186.90","7,186.90","7,186.90"
07/05/2024,"7,200.46","7,200.46","7,200.46","7,200.46"
07/03/2024,"7,183.04","7,183.04","7,183.04","7,183.04"
07/02/2024,"7,208.15","7,208.15","7,208.15","7,208.15"
07/01/2024,"7,191.57","7,191.57","7,191.57","7,191.57"
06/28/2024,"7,231.03","7,231.03","7,231.03","7,231.03"
06/27/2024,"7,212.70","7,212.70","7,212.70","7,212.70"
06/26/2024,"7,204.24","7,204.24","7,204.24","7,204.24"
06/25/2024,"7,246.89","7,246.89","7,246.89","7,246.89"
06/24/2024,"7,291.66","7,291.66","7,291.66","7,291.66"
06/21/2024,"7,212.05","7,212.05","7,212.05","7,212.05"
06/20/2024,"7,168.98","7,168.98","7,168.98","7,168.98"
06/18/2024,"7,208.11","7,208.11","7,208.11","7,208.11"
06/17/2024,"7,225.92","7,225.92","7,225.92","7,225.92"
06/14/2024,"7,140.55","7,140.55","7,140.55","7,140.55"
06/13/2024,"7,189.01","7,189.01","7,189.01","7,189.01"
06/12/2024,"7,237.24","7,237.24","7,237.24","7,237.24"
06/11/2024,"7,257.53","7,257.53","7,257.53","7,257.53"
06/10/2024,"7,245.11","7,245.11","7,245.11","7,245.11"
06/07/2024,"7,302.98","7,302.98","7,302.98","7,302.98"
06/06/2024,"7,363.22","7,363.22","7,363.22","7,363.22"
06/05/2024,"7,335.18","7,335.18","7,335.18","7,335.18"
06/04/2024,"7,360.38","7,360.38","7,360.38","7,360.38"
06/03/2024,"7,402.46","7,402.46","7,402.46","7,402.46"
05/31/2024,"7,435.49","7,435.49","7,435.49","7,435.49"
05/30/2024,"7,283.28","7,283.28","7,283.28","7,283.28"
